Butternut Bisque,,,
24,,,
number,unit,ingredient,notes
6,cup,onion,chopped
600,gram,cashew,
4,clove,garlic,finely chopped
10,lb,butternut squash,
20,cup,vegetable broth,
8,tbsp,ginger,minced
8,tsp,cumin,
8,tsp,coriander,
4,tsp,curry powder,
4,tsp,turmeric,
,,salt,
,,pepper,
