Tabbouleh Mix
27.0,
ingredient,number,notes
quinoa,3600.0 gram,
lemon juice,411.2 gram,
red onion,2.25 cup,finely chopped
cumin,45.0 gram,
salt,3.7 tablespoon,
olive oil,979.5 gram,
kale,9.0 bunch,finely chopped
tomato,18.0 piece,
mint leaf,1.0 liter 0.25 cup 1.1 teaspoon,torn
cucumber,4.5 piece,
pepper,,
