Tzaziki
27.0,4oz containers
ingredient,number,notes
cashew,305.7 gram,
yogurt,1927.6 gram,
garlic,16.0 clove,
salt,3.0 tablespoon,
cucumber,903.3 gram,
dill,0.25 cup 3.9 tablespoon,chopped
