Karma Bowl
40,
ingredient,number,notes
tzazika,40.0 piece,
green tahini,40.0 piece,
chicken shawarma,40.0 piece,
Tabbouleh mix,40.0 piece,
cauliflower,13.3 piece,
chickpea,13.3 can,
sweet potato,26.7 piece,
cabbage,3.3 piece,shredded
