Peanut Sauce
36.0,4oz container
ingredient,number,notes
peanut butter,1365.3 gram,
liquid amino,720.0 gram,
apple cider vinegar,611.2 gram,
maple syrup,514.8 gram,
ginger,21.3 gram,
garlic,21.2 clove,
red pepper flake,7.4 gram,
water,375.8 gram,
