Tzaziki,,,
22,4oz containers,,
number,unit,ingredient,notes
2,cup,cashew,
6,cup,yogurt,
16,clove,garlic,
1,tbsp,salt,
2,pound,cucumber,
0.5,cup,dill,chopped
