Winter Glow Bowl,,,
4,,,
number,unit,ingredient,notes
2,cup,quinoa,
2,piece,beet,"large, grated"
2,piece,carrot,grated
1,piece,green apple,grated
1,piece,orange,"small, sweetie"
1,bunch,kale,chopped
1,piece,sweet potato,baked
1,cup,walnut,
4,tbsp,tahini,
4,tbsp,coconut amino,
2,tbsp,lemon juice,
2,tsp,apple cider vinegar,
0.5,tsp,ground ginger,
0.5,tsp,garlic powder,
0.5,tsp,red pepper flake,
0.5,tsp,salt,
0.25,tsp,pepper,
