Spicy Sesame Noodle,,,
27,,,
number,unit,ingredient,notes
98,ounce,pasta,
7,package,tempeh,
7,tbsp,tamari,
1,tsp,red pepper flake,
1,cup,sesame seed,
20,piece,scallion,chopped
,,,
2.5,cup,tahini,
2.5,cup,almond butter,
2.5,cup,tamari,
2.5,cup,vegetable broth,
5,tsp,powdered sugar,
5,tsp,onion powder,
10,clove,garlic,minced
10,tbsp,maple syrup,
20,tbsp,siracha,
20,tbsp,rice wine vinegar,
