Thai Quinoa Salad with Peanut Sauce,,,
20,,,
number,unit,ingredient,notes
4,cup,quinoa,
7.5,cup,red cabbage,shredded
5,piece,carrot,chopped
5,piece,bell pepper,
10,piece,green onion,
2,cup,cilantro,
2.5,cup,cashew,roasted
2,cup,edamame,
2,cup,cucumber,chopped
2,cup,broccoli,
,,,
600,gram,kale,shredded
400,gram,red cabbage,shredded
300,gram,carrot,shredded
20,ml,peanut sauce,
,,,
20,piece,peanut sauce,4 oz container
