Mexican Stuffed Sweets,,,
30,,,
number,unit,ingredient,notes
30,piece,sweet potato,
5,cup,chopped onion,
5,cup,chopped bell pepper,red
10,cup,frozen corn,
16,cup,quinoa,
14,can,black bean,
10,tbsp,chili powder,
95,ml,cumin,
50,ml,smoked paprika,
50,ml,salt,
2,cup,salsa,
