Peppermint Brownie,,,
20,,,
number,unit,ingredient,notes
1280,gram,almond butter,
1200,gram,maple syrup,
5,tsp,vanilla extract,
140,gram,flax,
160,gram,corn starch,
240,gram,cocoa powder,
10,tsp,baking powder,
2.5,tsp,salt,
900,gram,chocolate chip,
