Chocolate Coconut Cookies
40.0,
ingredient,number,notes
almond flour,362.6 gram,
shredded coconut,129.6 gram,
cocoa powder,77.6 gram,
corn starch,51.8 gram,
salt,4.8 gram,
baking soda,9.8 gram,
maple syrup,388.7 gram,
vanilla extract,16.2 gram,
chocolate chip,388.7 gram,
