Cardamon Pecan Cookie
40.0,
ingredient,number,notes
almond flour,379.7 gram,
baking soda,8.1 gram,
coconut sugar,56.9 gram,
cardamon,12.2 gram,
salt,7.2 gram,
maply syrup,379.7 gram,
almond butter,379.7 gram,
vanilla extract,19.0 gram,
pecan,166.1 gram,chopped
