Chocolate Chip Cookie
40.0,
ingredient,number,notes
brown sugar,327.1 gram,
coconut oil,206.2 gram,
milk,115.6 gram,
vanilla extract,23.1 gram,
flour,426.7 gram,all purpose
baking soda,8.9 gram,
baking powder,7.1 gram,
salt,3.6 gram,
chocolate chip,284.4 gram,
