Firm Cheese (smokey cheddar variant),,,
1,,,
number,unit,ingredient,notes
2,cup,cashew,
2.5,tsp,salt,
2,tsp,turmeric,
2,tsp,smoked paprika,
2,tsp,smoked salt,
1,tsp,liquid smoke,
93,ml,apple cider vinegar,
74,ml,nutritional yeast,
2,tbsp,miso,
1,cup,coconut milk,
,,,
1.5,cup,water,
3,tbsp,tapioca starch,
1.5,tbsp,agar,
0.33,cup,water,
