Lemon Pepper Chickpea,,,
28,,,
number,unit,ingredient,notes
3.5,piece,onion,yellow
21,clove,garlic,minced
7,tbsp,flour,
7,cup,vegetable broth,
7,piece,lemon,zested
14,tbsp,lemon juice,
3.5,tsp,sea salt,
1.75,tsp,pepper,
14,can,chickpea,
1.75,cup,coconut milk,
,,parsley,
