number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
20.0,bunch,kale,"washed, destemmed",,,,
40.0,tbsp,tahini,,40.0 tablespoon,591.4705912499999 milliliter,560.0 gram,
40.0,tbsp,apple cider vinegar,,40.0 tablespoon,591.4705912499999 milliliter,721.5941213249997 gram,
40.0,tbsp,lemon juice,,40.0 tablespoon,591.4705912499999 milliliter,609.2147089874999 gram,
40.0,tbsp,liquid amino,,40.0 tablespoon,591.4705912499999 milliliter,680.0 gram,
80.0,tbsp,nutritional yeast,,80.0 tablespoon,1182.9411824999997 milliliter,300.0 gram,
40.0,tsp,garlic,,40.0 teaspoon,197.15686374999993 milliliter,,
