number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
3.088235294117647,cup,peanut butter,,3.088235294117647 cup,730.6401421323528 milliliter,796.3977549242646 gram,
1.5441176470588236,cup,liquid amino,,1.5441176470588236 cup,365.3200710661764 milliliter,420.0 gram,
1.2352941176470589,cup,apple cider vinegar,,1.2352941176470589 cup,292.25605685294113 milliliter,356.55238936058817 gram,
0.9264705882352942,cup,maple syrup,,0.9264705882352942 cup,219.19204263970585 milliliter,300.293098416397 gram,
1.8529411764705883,tbsp,ginger,,1.8529411764705883 tablespoon,27.39900532996323 milliliter,12.411227368274679 gram,
12.352941176470589,clove,garlic,,,,,
1.8529411764705883,tsp,red pepper flake,,1.8529411764705883 teaspoon,9.133001776654408 milliliter,4.323529411764706 gram,
0.9264705882352942,cup,water,,0.9264705882352942 cup,219.19204263970585 milliliter,219.19204263970585 gram,
