number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
465.08474576271186,gram,almond flour,,465.08474576271186 gram,,465.08474576271186 gram
9.966101694915254,gram,baking soda,,9.966101694915254 gram,10.233777885328387 milliliter,9.966101694915254 gram
69.76271186440678,gram,coconut sugar,,69.76271186440678 gram,,69.76271186440678 gram
14.94915254237288,gram,cardamom,,14.94915254237288 gram,27.631200290386644 milliliter,14.94915254237288 gram
8.803389830508474,gram,salt,,8.803389830508474 gram,,8.803389830508474 gram
465.08474576271186,gram,maple syrup,,465.08474576271186 gram,339.47791661511815 milliliter,465.08474576271186 gram
465.08474576271186,gram,almond butter,,465.08474576271186 gram,429.8186711837923 milliliter,465.08474576271186 gram
23.25423728813559,gram,vanilla extract,,23.25423728813559 gram,23.023997314985735 milliliter,23.25423728813559 gram
203.47457627118644,gram,chopped pecan,,203.47457627118644 gram,,203.47457627118644 gram
