number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
8.857142857142856,cup,cashew,,8.857142857142856 cup,2095.495808999999 milliliter,1359.5714285714284 gram,
5.535714285714285,cup,water,,5.535714285714285 cup,1309.6848806249993 milliliter,1309.6848806249993 gram,
1.107142857142857,cup,lime juice,,1.107142857142857 cup,261.9369761249999 milliliter,,
8.857142857142856,tsp,salt,,8.857142857142856 teaspoon,43.65616268749998 milliliter,,
0.7307142857142856,cup,maple syrup,,0.7307142857142856 cup,172.87840424249993 milliliter,236.84341381222495 gram,
0.7307142857142856,cup,tamari,,0.7307142857142856 cup,172.87840424249993 milliliter,186.70867658189994 gram,
24.357142857142854,tbsp,sriracha,,24.357142857142854 tablespoon,360.16334217187483 milliliter,414.0714285714285 gram,
6.642857142857142,tbsp,miso paste,,6.642857142857142 tablespoon,98.22636604687497 milliliter,,
