number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
5.0,cup,cashew,,5.0 cup,1182.9411824999997 milliliter,767.5 gram,
3.333333333333333,cup,soy milk,,3.333333333333333 cup,788.6274549999997 milliliter,693.3333333333333 gram,
13.333333333333332,tbsp,lemon juice,,13.333333333333332 tablespoon,197.15686374999993 milliliter,203.07156966249994 gram,
1.6666666666666665,tsp,salt,,1.6666666666666665 teaspoon,8.214869322916662 milliliter,,
6.666666666666666,tsp,maple syrup,,6.666666666666666 teaspoon,32.85947729166665 milliliter,45.01748388958332 gram,
13.333333333333332,piece,chipotle pepper,,,,,
6.666666666666666,tsp,adobo sauce,,6.666666666666666 teaspoon,32.85947729166665 milliliter,,
1.25,tsp,smoked paprika,,1.25 teaspoon,6.161151992187498 milliliter,3.333333333333333 gram,
