number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
6000.0,gram,mexican quinoa,,6000.0 gram,,6000.0 gram,
1800.0,gram,chorizo,,1800.0 gram,,1800.0 gram,
2000.0,gram,pickled corn,,2000.0 gram,,2000.0 gram,
1600.0,gram,cabbage ,food processed,1600.0 gram,,1600.0 gram,
6000.0,gram,mexican instant pot black bean,,6000.0 gram,,6000.0 gram,
4000.0,gram,tomato-onion mix,,4000.0 gram,,4000.0 gram,
40.0,2oz,chipotle aioli sauce,,80.0 ounce,,2267.9618500000006 gram,
40.0,20z,cilantro crema,,,,,
