number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
421.875,gram,brown rice flour,,421.875 gram,,421.875 gram,
135.0,gram,tapioca starch,,135.0 gram,,135.0 gram,
607.5,gram,coconut sugar,,607.5 gram,,607.5 gram,
1.0546875,tsp,baking powder,,1.0546875 teaspoon,5.1984719934082015 milliliter,5.0625 gram,
2.109375,tsp,baking soda,,2.109375 teaspoon,10.396943986816403 milliliter,10.125 gram,
1.40625,tsp,salt,fine,1.40625 teaspoon,6.931295991210935 milliliter,,
1139.0625,gram,coconut milk,lite,1139.0625 gram,1295.6191737417366 milliliter,1139.0625 gram,
247.5,gram,dark chocolate chip,70% DF,247.5 gram,,247.5 gram,
101.25,gram,cocoa powder,,101.25 gram,,101.25 gram,
