number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
17.142857142857142,tbsp,tahini,,17.142857142857142 tablespoon,253.48739624999993 milliliter,240.00000000000003 gram,
17.142857142857142,tbsp,apple cider vinegar,,17.142857142857142 tablespoon,253.48739624999993 milliliter,309.2546234249999 gram,
17.142857142857142,tbsp,lemon juice,,17.142857142857142 tablespoon,253.48739624999993 milliliter,261.09201813749996 gram,
17.142857142857142,tbsp,liquid amino,,17.142857142857142 tablespoon,253.48739624999993 milliliter,291.42857142857144 gram,
34.285714285714285,tbsp,nutritional yeast,,34.285714285714285 tablespoon,506.97479249999986 milliliter,128.57142857142858 gram,
17.142857142857142,clove,garlic,chopped,,,,
4.285714285714286,tbsp,maple syrup,,4.285714285714286 tablespoon,63.37184906249998 milliliter,86.81943321562498 gram,
