number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
12.0,piece,mango,pureed,,,
24.0,cup,coconut milk,,24.0 cup,5678.117675999998 milliliter,4991.999999999999 gram
72.0,tbsp,chia seed,,72.0 tablespoon,1064.6470642499996 milliliter,825.0 gram
24.0,tbsp,maple syrup,,24.0 tablespoon,354.8823547499999 milliliter,486.1888260074999 gram
