number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
1511.25,gram,quick oat,,1511.25 gram,,1511.25 gram,
1209.0,gram,walnut,chopped,1209.0 gram,2383.626482737499 milliliter,1209.0 gram,
1047.8,gram,mini dark chocolate chip,,1047.8 gram,,1047.8 gram,
8.06,tsp,cinnamon,,8.06 teaspoon,39.72710804562499 milliliter,18.80666666666667 gram,
4.03,tsp,salt,,4.03 teaspoon,19.863554022812494 milliliter,,
2055.3,gram,almond butter,,2055.3 gram,1899.4523534314449 milliliter,2055.3 gram,
1299.6750000000002,gram,maple syrup,,1299.6750000000002 gram,948.6678832116789 milliliter,1299.6750000000002 gram,
60.45,gram,vanilla extract,,60.45 gram,59.851485148514854 milliliter,60.45 gram,
