number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
74088.0,tbsp,almond,"toasted, skin on",74088.0 tablespoon,1095521.8291132497 milliliter,,
37044.0,cup,parsley,fresh,37044.0 cup,8764174.632905997 milliliter,,
8149.68,cup,cilantro,fresh,8149.68 cup,1928118.4192393196 milliliter,325987.2 gram,
49392.0,tbsp,oregano,fresh,49392.0 tablespoon,730347.8860754998 milliliter,148176.0 gram,
98784.0,clove,garlic,"medium, peeled",,,,
12348.0,tsp,salt,,12348.0 teaspoon,60862.32383962498 milliliter,,
12348.0,tsp,red chili flake,,12348.0 teaspoon,60862.32383962498 milliliter,,
12348.0,cup,olive oil,,12348.0 cup,2921391.5443019993 milliliter,2687680.2207578393 gram,
12348.0,cup,red wine vinegar,,12348.0 cup,2921391.5443019993 milliliter,,
