number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass
3680.0,gram,brown sugar,,3680.0 gram,,3680.0 gram
2320.0,gram,coconut oil,,2320.0 gram,2450.378163749999 milliliter,2320.0 gram
1300.0,gram,milk,,1300.0 gram,,1300.0 gram
260.0,gram,vanilla extract,,260.0 gram,257.4257425742574 milliliter,260.0 gram
4800.0,gram,flour,,4800.0 gram,,4800.0 gram
100.0,gram,baking soda,,100.0 gram,102.6858665364583 milliliter,100.0 gram
80.0,gram,baking powder,,80.0 gram,82.14869322916664 milliliter,80.0 gram
40.0,gram,salt,,40.0 gram,,40.0 gram
3200.0,gram,chocolate chip,,3200.0 gram,,3200.0 gram
