number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
26.0,whole,onion,very thinly sliced,,,,
13.0,cup,water,,13.0 cup,3075.6470744999992 milliliter,3075.6470744999992 gram,
6.5,cup,white vinegar,,6.5 cup,1537.8235372499996 milliliter,1476.3105957599996 gram,
6.5,cup,apple cider vinegar,,6.5 cup,1537.8235372499996 milliliter,1876.1447154449995 gram,
39.0,tbsp,maple syrup,,39.0 tablespoon,576.6838264687499 milliliter,790.0568422621874 gram,
39.0,tsp,salt,,39.0 teaspoon,192.22794215624992 milliliter,,
6.5,tsp,red pepper flakes,,6.5 teaspoon,32.03799035937499 milliliter,15.166666666666668 gram,
