number,raw_unit,ingredient,notes,pint_raw,pint_volume,pint_mass,price
6.666666666666666,cup,cashew,,6.666666666666666 cup,1577.2549099999994 milliliter,1023.3333333333331 gram,
10.0,cup,coconut milk,,10.0 cup,2365.8823649999995 milliliter,2080.0 gram,
20.0,tbsp,apple cider vinegar,,20.0 tablespoon,295.73529562499994 milliliter,360.79706066249986 gram,
13.333333333333332,tsp,onion powder,,13.333333333333332 teaspoon,65.7189545833333 milliliter,42.222222222222214 gram,
10.0,tsp,garlic powder,,10.0 teaspoon,49.28921593749998 milliliter,26.666666666666664 gram,
3.333333333333333,tsp,celery seed,,3.333333333333333 teaspoon,16.429738645833325 milliliter,,
6.666666666666666,tsp,dill,,6.666666666666666 teaspoon,32.85947729166665 milliliter,,
3.333333333333333,tsp,ground mustard,,3.333333333333333 teaspoon,16.429738645833325 milliliter,,
10.0,tsp,sea salt,,10.0 teaspoon,49.28921593749998 milliliter,55.99999999999999 gram,
