Peanut Sauce
30.0,4oz containers
number_unit,ingredient,notes
1137.7 gram,peanut butter,
563.7 gram,tamari,
509.3 gram,apple cider vinegar,
428.9 gram,maple syrup,
39.1 milliliter,ginger,
17.6 clove,garlic,
2.6 teaspoon,red pepper flake,
309.0 milliliter,water,
