Mexican Enchilada Casserole
90,makes 1 9x12 pan
number_unit,ingredient,notes
3375.0 gram,cashew,
5400.0 gram,salsa,
4050.0 gram,plain yogurt,
1695.0 gram,water,
80.0 gram,smoked paprika,
75.0 gram,cumin,
92.4 milliliter,salt,
297.0 gram,nutritional yeast,
,,
210.0 tortilla,corn tortilla,cut into quarters
45.0 can,black bean,"15oz can, drained and rinsed"
5400.0 gram,salsa,
6600.0 gram,frozen corn,"(3c) -2 cans, i don't know what this means"
,,
nan nan,green onion,
