Granola
30.0,100g bags
number_unit,ingredient,notes
900.0 gram,oatmeal,
300.0 gram,pumpkin seed,
325.0 gram,almond,chopped
300.0 gram,walnut,chopped
250.0 gram,shredded coconut,
40.0 gram,cinnamon,
,,
565.0 gram,maple syrup,
400.0 gram,almond butter,
20.0 gram,vanilla,
,,
250.0 gram,dried cherry,
285.0 gram,chocolate chip,
