Spicy Mayo
23.0,4oz container
ingredient,number,notes
cashew,1008.7 gram,
water,971.7 gram,
lime juice,0.75 cup 1.1 tablespoon,
salt,2.2 tablespoon,
maple syrup,175.7 gram,
tamari,138.5 gram,
sriracha,307.2 gram,
miso paste,0.25 cup 2.8 teaspoon,
