Garlicky Kale Salad Dressing
17.0,
ingredient,number,notes
tahini,272.0 gram,
apple cider vinegar,350.5 gram,
lemon juice,295.9 gram,
liquid amino,330.3 gram,
nutritional yeast,145.7 gram,
garlic,19.4 clove,chopped
maple syrup,98.4 gram,
