Chimi Bowl Sauce
24.0,
ingredient,number,notes
almond,2.25 cup,"toasted, skin on"
parsley,4.0 liter 1.0 cup 1.5 tablespoon,fresh
cilantro,158.4 gram,fresh
oregano,72.0 gram,fresh
garlic,48.0 clove,"medium, peeled"
salt,6.0 teaspoon,
red chili flake,6.0 teaspoon,
olive oil,1306.0 gram,
red wine vinegar,1.0 liter 1.75 cup 1.1 teaspoon,
