Avocado Cilantro Sauce,,,
3,2oz servings,,
number,unit,ingredient,notes
1,piece,avocado,
0.33,cup,cilantro,
0.66,cup,water,
0.5,tsp,salt,
1,tsp,coriander,
0.125,cup,lime juice,
2,clove,garlic,
,,pepper,
,,cayenne,
