Green Tahini Sauce,,,
4,2oz container,,
number,unit,ingredient,notes
0.5,cup,cilantro,
0.5,cup,parsley,
0.25,cup,tahini,
2,tbsp,lemon juice,
0.5,tsp,garlic,minced
0.25,tsp,cumin,
0.25,tsp,salt,
0.25,tsp,pepper,
