Vegan Snickerdoodles,,,
8,,,
number,unit,ingredient,notes
1,tbsp,flax seed,flax egg
2.5,tbsp,water,flax egg
120,gram,flour,
60,gram,almond flour,
50,gram,coconut sugar,
0.75,tsp,cream of tarter,
0.5,tsp,baking soda,
0.5,tsp,cinnamon,
40,gram,coconut oil,
1.5,tbsp,maple syrup,
1,tsp,vanilla extract,
,,,
3,tbsp,coconut sugar,
2,tsp,cinnamon,
