Curried Lentil Coconut Soup,,,
20,2 cup serving,,
number,unit,ingredient,notes
4,piece,onion,chopped
24,clove,garlic,
2,cup,ginger,very finely chopped
5,tbsp,curry powder,
1,tsp,cayanne,
4,can,coconut milk,
8,cup,vegetable broth,low sodium
12,cup,water,
37,ounce,splitred lentil,
2,cup,shredded coconut,
4,tsp,salt,
56,ounce,crushed tomato,can
400,gram,baby spinach,
