Cilantro Crema,,,
12,,,
number,unit,ingredient,notes
1,package,silken tofu,12oz package
1,tbsp,olive oil,
1.5,tbsp,lime juice,
0.5,tsp,salt,
1,clove,garlic,
0.5,bunch,cilantro,
0.5,piece,jalapeno,
