Quinoa Taco Meat,,,
4,,,
number,unit,ingredient,notes
1,cup,quinoa,rinsed
1,cup,vegetable broth,
0.75,cup,water,
0.5,cup,salsa,
1,tbsp,nutritional yeast,
2,tsp,cumin,
2,tsp,chili powder,
0.5,tsp,garlic powder,
0.5,tsp,salt,
0.5,tsp,pepper,
