Spicy Mayo
22.0,4oz container
ingredient,number,notes
cashew,964.9 gram,
water,929.5 gram,
lime juice,0.75 cup 1.7 teaspoon,
salt,2.1 tablespoon,
maply syrup,0.5 cup 0.9 teaspoon,
tamari,132.5 gram,
sriracha,293.9 gram,
miso paste,0.25 cup 2.1 teaspoon,
