Chocolate Coconut Cookies
108.0,
ingredient,number,notes
almond flour,979.1 gram,
shredded coconut,349.8 gram,
cocoa powder,209.6 gram,
corn starch,139.8 gram,
salt,13.1 gram,
baking soda,26.5 gram,
maple syrup,1049.4 gram,
vanilla extract,43.7 gram,
chocolate chip,1049.4 gram,
