Peanut Sauce
26.0,4oz containers
ingredient,number,notes
peanut butter,986.0 gram,
tamari,488.5 gram,
apple cider vinegar,441.4 gram,
maple syrup,371.8 gram,
ginger,15.4 gram,
garlic,15.3 clove,
red pepper flake,5.4 gram,
water,267.8 gram,
