Cilantro Crema
34.0,
ingredient,number,notes
silken tofu,2.8 package,12oz package
lime juice,0.25 cup 0.8 teaspoon,
salt,1.4 teaspoon,
garlic,2.8 clove,
cilantro,1.4 bunch,
jalapeno,1.4 piece,
