Nutter
24.0,
ingredient,number,notes
flax,34.9 gram,
water,185.5 gram,
oat,212.7 gram,
almond flour,174.5 gram,
cinnamon,9.8 gram,
sea salt,7.6 gram,
baking soda,6.5 gram,
shredded coconut,54.5 gram,
pumpkin seed,87.3 gram,
pecan,70.9 gram,chopped
mini chocolate chip,109.1 gram,
applesauce,158.2 gram,
almond butter,147.3 gram,
maple syrup,218.2 gram,
vanilla,15.3 gram,
