Butternut Bisque
18.0,
ingredient,number,notes
onion,1.0 liter 0.25 cup 1.1 teaspoon,chopped
cashew,450.0 gram,
garlic,3.0 clove,finely chopped
butternut squash,3401.9 gram,
vegetable broth,2880.0 gram,
ginger,40.2 gram,minced
cumin,15.0 gram,
coriander,10.0 gram,
curry powder,7.0 gram,
turmeric,9.0 gram,
salt,,
pepper,,
