Vegan Oil-Free Zucchini Fritters
,
ingredient,number,notes
zucchini,3044.4 gram,
corn,1000.0 gram,
almond butter,533.3 gram,
oat flour,711.1 gram,
garlic powder,0.25 cup 3.4 tablespoon,
onion powder,70.4 gram,
salt,2.8 tablespoon,
pepper,6.5 gram,
smoked paprika,29.6 gram,
