Portobello Mushroom Ropa Vieja,,,
15,,,
number,unit,ingredient,notes
48,ounce,mushroom,
1,piece,sweet onion,
3,piece,pepper,green
3,piece,pepper,red
12,clove,garlic,
0.5,cup,olive,
0.5,cup,caper,
0.5,tsp,clove,
1.5,tsp,allspice,
0.75,tsp,cumin,
0.75,cup,parsley,
0.75,cup,wine,white
1.5,cup,vegetable stock,
45,ounce,tomato puree,canned
3,can,jackfruit,
,,salt,
