Chili,,,
20,,,
number,unit,ingredient,notes
1.5,cup,walnut,
1.5,ounce,dried mushroom,
,,,
6,piece,onion,chopped
6,piece,red pepper,chopped
6,piece,jalapeno,seeded
6,tbsp,cumin,
0.75,cup,chili powder,
9,tbsp,tomato paste,
18,clove,garlic,
84,ounce,diced tomato,from can
6,can,black bean,
3,can ,kidney bean,
3,can,cannelini,
12,cup,vegetable stock,
9,tbsp,liquid amino,
3,cup,soy curl,pulsed
