Tofu Feta Cheese,,,
7.3,,,
number,unit,ingredient,notes
400,gram,tofu,drained
2,tbsp,miso,
1,piece,lemon,juiced
0.25,cup,apple cider vinegar,
1,tbsp,olive oil,
3,tbsp,water,
2,tbsp,nutritional yeast,
1,tbsp,oregano,
0.5,tsp,garlic powder,
0.5,tsp,salt,
,,pepper,
,,red pepper flake,
