Instant Pot Black Beans
60.0,
ingredient,number,notes
grape seed oil,0.5 cup 2.0 tablespoon,
yellow onion,2.0 liter 1.5 cup 2.2 teaspoon,diced
garlic,30.0 clove,
cilantro,132.0 gram,
pepper,10.0 piece,"red, diced"
dry black bean,4535.9 gram,
cumin,112.5 gram,
ancho chili powder,3.3 tablespoon,
smoked paprika,26.7 gram,
salt,5.0 teaspoon,
water,9463.5 gram,
salsa verde,1.0 liter 0.75 cup 1.1 teaspoon,
lime,10.0 piece,juiced
