Quinoa Taco Meat
18.0,
ingredient,number,notes
quinoa,900.0 gram,rinsed
vegetable broth,864.0 gram,
water,798.5 gram,
salsa,2.25 cup,
nutritional yeast,16.9 gram,
cumin,22.5 gram,
chili powder,3.0 tablespoon,
garlic powder,6.0 gram,
salt,2.2 teaspoon,
pepper,5.2 gram,
