Cold Spicy Peanut Sesame Noodles
25.0,
ingredient,number,notes
spaghetti,1890.0 gram,
water,650.6 gram,
peanut butter,354.6 gram,
soy sauce,1.0 cup 2.0 teaspoon,
rice vinegar,1.0 cup 2.0 teaspoon,
brown sugar,0.75 cup 1.5 teaspoon,
roasted peanut oil,1.0 cup 2.0 teaspoon,
sesame seed,0.5 cup 1.0 teaspoon,toasted
chili garlic sauce,0.25 cup 0.5 teaspoon,
sesame oil,4.2 teaspoon,
ginger,30.7 gram,peeled
garlic,4.2 clove,
scallion,,
