Chipotle Aioli
18.0,
ingredient,number,notes
cashew,345.4 gram,
soy milk,312.0 gram,
lemon juice,91.4 gram,
salt,0.8 teaspoon,
maple syrup,20.3 gram,
chipotle pepper,6.0 piece,
adobo sauce,3.0 teaspoon,
smoked paprika,1.5 gram,
