Lemon Tahini Dressing
9.0,4oz container
ingredient,number,notes
tahini,336.0 gram,
water,266.2 gram,
lemon juice,274.1 gram,
garlic,9.0 clove,minced
onion powder,4.7 gram,
salt,2.2 teaspoon,
black pepper,,
maple syrup,30.4 gram,
