Cilantro Crema
18.0,
ingredient,number,notes
silken tofu,1.5 package,12oz package
olive oil,20.4 gram,
lime juice,2.2 tablespoon,
salt,0.8 teaspoon,
garlic,1.5 clove,
cilantro,0.8 bunch,
jalapeno,0.8 piece,
