Chocolate Espresso Truffle Frosting,,,
30,,,
number,unit,ingredient,notes
812,gram,semi sweet chocolate chip,
300,gram,coconut milk,lite
5,gram,vanilla extract,
2,gram,instant espresso,
100,gram,canned pumpkin,
0.25,tsp,salt,fine
