Falafel Bowl,,,
1,,,
number,unit,ingredient,notes
0.33,cup,cucumber,
0.33,cup,red cabbage,
10,piece,cherry tomato,
0.25,cup,olive,
5,piece,falafel,
0.25,cup,hummus,
1,piece,tzatziki,4oz container
0.33,cup,tofu feta cheese,
1,cup,lettuce,
