Falafel,,,
31.6,five falafel per serving,,
number,unit,ingredient,notes
12,can,chickpea,
6,cup,chopped onion,
24,clove,garlic,
13.5,tsp,cumin,
12,tsp,coriander,
18,tbsp,tahini,
6,tsp,salt,
1.5,tsp,pepper,
720,gram,potato,"peeled, mashed, baked"
4.5,cup,parsley,
20,tbsp,water,
150,gram,hot sauce,
