Chickloaf Meatloaf,,,
4,,,
number,unit,ingredient,notes
100,gram,onion,chopped
100,gram,celery,chopped
100,gram,carrot,chopped
3,clove,garlic,
2,can,chickpea,"drained, rinsed"
120,gram,panko,
2,tbs,flaxseed,
3,tbs,nutritional yeast,
2,tbs,tamari,
2,tbs,worcestershire sauce,
0.25,cup,ketchup,
0.5,tsp,liquid smoke,
,,,
0.66,cup,ketchup,
2,tsp,worcestire sauce,
