Creamy Cashew Butternut Squash Soup,,,
7,,,
number,unit,ingredient,notes
3,tbs,,
285,gram,onion,finely chopped
150,gram,raw cashew,
1,clove,garlic,finely chopped
2,pound,butternut squash,peeled and cut into .5 inch dice
5,cup,vegetable broth,
2,tbs,ginger,minced
2,tsp,cumin,
2,tsp,coriander,
1,tsp,curry powder,
1,tsp,turmeric,
1,cup,coconut milk,
1,sprig,rosemary,
