Vegan Pumpkin Praline Tart,,,
12,,,
number,unit,ingredient,notes
2,cup,almond flour,superfine
0.25,cup,cornstarch,
2,tbs,maple syrup,
,,,
2,cup,pumpkin puree,
0.5,cup,maple syrup,
2,tbs,cornstarch,
0.25,cup,milk,almond or cashew
1,tsp,cinnamon,
1,tsp,ground ginger,
0.5,tsp,nutmeg,
,,,
1,cup,pecan,
1,tbs,maple syrup,
2,tbs,sugar,
1,tsp,vanilla extract,
